"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC"
"ANT1","2450FM07A0029T","https://www.johansontechnology.com/datasheets/2450FM07A0029/2450FM07A0029.pdf","SamacSys_Parts:2450FM07A0029T","1","","C2917726"
"C1,C2,C3,C4,C5,C6,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C22","100nF","~","Capacitor_SMD:C_0402_1005Metric","17","","C110251"
"C7,C8","10nF","~","Capacitor_SMD:C_0402_1005Metric","2","","C60133"
"C9","470nF","~","Capacitor_SMD:C_0402_1005Metric","1","","C47339"
"C20,C21","1uF","~","Capacitor_SMD:C_0402_1005Metric","2","","C14445"
"D1,D2","LED","~","LED_SMD:LED_0603_1608Metric","2","","-- mixed values --"
"IC1","SX1280IMLTRT","https://datasheet.datasheetarchive.com/originals/distributors/DKDS-37/728740.pdf","SamacSys_Parts:QFN50P400X400X100-25N-D","1","","C125969"
"IC2","ESP8285","http://espressif.com/sites/default/files/documentation/0a-esp8285_datasheet_en.pdf","SamacSys_Parts:QFN50P500X500X90-33N-D","1","","C967018"
"J1,J2,J3","Conn_01x04","~","-- mixed values --","3","",""
"J4","VBUS","~","Pads:PAD_1.5x1.5mm_NO_HOLE","1","",""
"J6","3.3V_SW","~","Pads:PAD_1.5x1.5mm_NO_HOLE","1","",""
"J7","RP_RX","~","Pads:PAD_1.5x1.5mm_NO_HOLE","1","",""
"J8","RP_TX","~","Pads:PAD_1.5x1.5mm_NO_HOLE","1","",""
"J9","ESP_RX","~","Pads:PAD_1.5x1.5mm_NO_HOLE","1","",""
"J10","ESP_TX","~","Pads:PAD_1.5x1.5mm_NO_HOLE","1","",""
"J11","GND","~","Pads:PAD_1.5x1.5mm_NO_HOLE","1","",""
"J12","3.3V","~","Pads:PAD_1.5x1.5mm_NO_HOLE","1","",""
"J13","DP","~","Pads:PAD_1.5x1.5mm_NO_HOLE","1","",""
"J14","DN","~","Pads:PAD_1.5x1.5mm_NO_HOLE","1","",""
"L1,L2","SLDA52-2R710G-SITF","https://lcsc.com/product-detail/Antennas_2710MHZ_C96746.html","easyeda2kicad:ANT-SMD_L5.2-W2.1","2","","C96746"
"PS1","RT9013-33GB","https://www.richtek.com/assets/product_file/RT9013/DS9013-10.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","C7434207"
"R1,R2,R5,R6,R7,R11,R12","12k","~","Resistor_SMD:R_0402_1005Metric","7","","C22790"
"R3,R4,R8,R9,R15,R16","470","~","Resistor_SMD:R_0402_1005Metric","6","","C25117"
"R10","1k","~","Resistor_SMD:R_0402_1005Metric","1","","C11702"
"R13,R14","27","~","Resistor_SMD:R_0402_1005Metric","2","","C25100"
"S1","TS3A5223RSWR","http://www.ti.com/lit/gpn/ts3a5223","Package_DFN_QFN:UQFN-10_1.3x1.8mm_P0.4mm","1","","C128419"
"SW1,SW2","SW_SPST","~","Button_Switch_SMD:SW_SPST_B3U-1000P","2","","C231329"
"U1","RP2040","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","1","","C2040"
"U2","W25Q16JVSS","https://www.winbond.com/hq/support/documentation/levelOne.jsp?__locale=en&DocNo=DA00-W25Q16JV.1","Package_SON:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm","1","","C2843335"
"X1","SX1M_12MHz","http://www.abracon.com/Oscillators/ASV.pdf","CustomFootprints:Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm","1","","C7425461"
"X2","SX1M_26MHz","http://www.abracon.com/Oscillators/ASV.pdf","CustomFootprints:Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm","1","","C5203553"
"X3","YSO510TP_52MHz","http://www.abracon.com/Oscillators/ASV.pdf","CustomFootprints:Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm","1","","C22434896"
