Comment,Designator,Footprint,LCSC
100nF,"C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C22,C3,C4,C5,C6",C_0402_1005Metric,C110251
1k,R10,R_0402_1005Metric,C11702
SX1280IMLTRT,IC1,QFN50P400X400X100-25N-D,C125969
TS3A5223RSWR,S1,UQFN-10_1.3x1.8mm_P0.4mm,C128419
1uF,"C20,C21",C_0402_1005Metric,C14445
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
YSO510TP_52MHz,X3,Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,C22434896
12k,"R1,R11,R12,R2,R5,R6,R7",R_0402_1005Metric,C22790
SW_SPST,"SW1,SW2",SW_SPST_B3U-1000P,C231329
27,"R13,R14",R_0402_1005Metric,C25100
470,"R15,R16,R3,R4,R8,R9",R_0402_1005Metric,C25117
W25Q16JVSS,U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335
2450FM07A0029T,ANT1,2450FM07A0029T,C2917726
470nF,C9,C_0402_1005Metric,C47339
SX1M_26MHz,X2,Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,C5203553
1nF,"C23,C7,C8",C_0402_1005Metric,C60133
SX1M_12MHz,X1,Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,C7425461
RT9013-33GB,PS1,SOT-23-5,C7434207
LED,D1,LED_0603_1608Metric,C84266
LED,D2,LED_0603_1608Metric,C84267
ESP8285,IC2,QFN50P500X500X90-33N-D,C967018
SLDA52-2R710G-SITF,"L1,L2",ANT-SMD_L5.2-W2.1,C96746
Conn_01x04,J1,PCB_USB_connector,
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J3,PCB_USB_connector_top,
RP_RX,J7,PAD_1.5x1.5mm_NO_HOLE,
VBUS,J4,PAD_1.5x1.5mm_NO_HOLE,
RP_TX,J8,PAD_1.5x1.5mm_NO_HOLE,
GND,J11,PAD_1.5x1.5mm_NO_HOLE,
DN,J14,PAD_1.5x1.5mm_NO_HOLE,
3.3V,J12,PAD_1.5x1.5mm_NO_HOLE,
3.3V_SW,J6,PAD_1.5x1.5mm_NO_HOLE,
ESP_TX,J10,PAD_1.5x1.5mm_NO_HOLE,
ESP_RX,J9,PAD_1.5x1.5mm_NO_HOLE,
DP,J13,PAD_1.5x1.5mm_NO_HOLE,
